Time(Iteration),EpsilonGreedyMultiArmedBandit,UpperConfidenceBoundMultiArmedBandit,ThompsonSamplingMultiArmedBandit,PHEMultiArmedBandit,thompson check
306,33.334710284055646,13.972231226488006,24.602111258407362,15.802715898903411,29.189905011314078
307,33.334710284055646,13.978784004971809,24.602111258407362,15.803719352369777,29.2214528913737
308,33.457546749137904,13.978784004971809,24.602111258407362,15.803719352369777,29.23529971726441
309,33.5032274344261,13.978784004971809,24.617073769877003,15.825853649173638,29.23699859290723
310,33.5032274344261,13.98048288061463,24.731099579145557,15.83240642765744,29.23869746855005
311,33.5032274344261,13.981178302791088,24.751525320354784,15.835063612450858,29.332499964910745
312,33.5612747503237,13.999146916689986,24.753487082971745,15.847334830060854,29.33419884055356
313,33.67911156801263,14.000105225840581,24.81271223704499,15.853932752860425,29.36751136094416
314,33.78144188862108,14.021022692394087,24.81367054619559,15.865895939180513,29.43262256112887
315,33.78144188862108,14.105922186584252,24.814628855346182,15.887419312377622,29.434584323745828
316,33.87796831724419,14.107883949201213,24.814628855346182,15.893972090861425,29.43527974592228
317,34.078206849898706,14.107883949201213,24.814628855346182,15.90624330847142,29.435975168098736
