Time(Iteration),EpsilonGreedyMultiArmedBandit,ThompsonSamplingMultiArmedBandit,Upperasdl;kj;ldkjf;lasdfasdfasdfa
466,51.67011716819742,81.95007628367838,140.06154714836686
467,51.91132865181824,81.99392436689729,140.27629305611495
468,51.994074026837815,81.99828059290152,140.42327947294933
469,52.06620130756162,82.00494704825721,140.77300310586662
470,52.19434315674086,82.02656483600664,141.0644510440553
471,52.322842081782575,82.04635464098753,141.3041598451309
472,52.35707692978546,82.1483989614268,141.58652159422473
473,52.382289431921116,82.16487742388497,141.72891779280334
474,52.465999444175566,82.21157558164815,142.03223838021987
475,52.491211946311225,82.25563262367353,142.31066681227767
476,52.602295567171765,82.36422220273661,142.38715465237522
477,52.69180543610197,82.38870817852117,142.65036685784645
478,52.7637591929442,82.41072413080425,143.00879980720433
479,52.876567315969716,82.47885848440183,143.2701861578548
480,53.076039814469496,82.5381864491437,143.57721117991247
481,53.101252316605155,82.57640808699821,143.89681026302645
482,53.14087365341736,82.58647909174614,144.1305058901402
483,53.166086155553025,82.66047900013535,144.4276162829338
484,53.191298657688684,82.74420082640381,144.7124447429905
485,53.28062228953146,82.80403700864657,144.99559850691463
486,53.32297831873284,82.80403700864657,145.24300826484367
487,53.3774845783268,82.83812894809303,145.48241759256365
488,53.466808210169575,82.91238839775386,145.66600142206886
489,53.61204624971695,82.93416419675347,145.91769373752157
490,53.798779482722765,82.97277249870899,146.2312878754517
491,53.84743337416554,83.01434409544811,146.47960388139933
492,53.872645876301206,83.05248427851605,146.78039140078178
493,53.897858378436865,83.05248427851605,147.02957989020348
494,53.997894657419394,83.09781309674993,147.32447359930086
495,54.093862804794504,83.09781309674993,147.58926902137244
496,54.162141477839214,83.16792596657628,147.80942593201362
497,54.19315929482175,83.17081073410326,148.01582402191642
498,54.29768911625947,83.19819453163231,148.21514336670867
499,54.38006479618851,83.24756904307063,148.60196260356722
500,54.43385759583043,83.27438827852058,148.86129230738868
501,54.46026659794329,83.29958975406846,149.0059741778407
502,54.485479100078955,83.33599255824089,149.23316444514563
503,54.571148637590724,83.33599255824089,149.46164045805475
504,54.592599522348415,83.35113770710346,149.6104053891449
505,54.614050407106106,83.35113770710346,149.9219850445858
506,54.67956810103393,83.4163835578411,150.17503704425036
507,54.81627494481309,83.48682386543949,150.38527362399026
508,54.992310617480655,83.51182891018502,150.54802051725903
509,55.013761502238346,83.54099996532071,150.72269497003907
510,55.07967519027235,83.58107629226468,151.0071807058818
511,55.22616833199487,83.70364363026869,151.295452885094
512,55.25257733410773,83.70969157359654,151.54243113348608
513,55.40611044376523,83.75326649374061,151.82823069234033
514,55.511277135448246,83.88305683262902,152.0128980766148
515,55.53272802020594,83.89792044361513,152.2179199317466
516,55.55417890496362,83.92174814360409,152.4158636050965
